eventid,iyear,imonth,iday,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,gname,claimed,claimmode,claimmode_txt,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Date,Month,TTP,dayofweek
200802010003,2008,2,1,Federally Administered Tribal Areas,North Waziristan District,32.926684,69.920086,,"02/01/2008:  On Friday at around 4 pm, a suicide bomber ran a truck full of explosives into the Khajuri Checkpost in North Waziristan, Pakistan, killing six and wounding more than 15 according to a local security official. While no group has claimed responsibility for the attack, al-Qaida is suspected for reasons of retaliation for an attack that killed al-Qaeda No 3 commander Abu Laith al-Libi and his 12 companions. The checkpost is located on Bannu-Miranshah road bordering the Frontier Region of Bakakhel.",0,1,1,3,Bombing/Explosion,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Pakistan Forces,Security men and civilians at Mir-Ali checkpost.,Al-Qaida,0,,,6,Explosives,15.0,Vehicle,7.0,0.0,1.0,15.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,CETIS,0,1,0,1,2008-02-01,Feb,0.0,Friday
200802160011,2008,2,16,Federally Administered Tribal Areas,Unknown,32.667476,69.859741,,"02/16/2008: Assailants abducted Jere Van Dyk, an American journalist, along with three Afghan civilians at an unknown location near the Afghan border in Federally Administered Tribal Areas, Pakistan. Van Dyk was released after 45 days of captivity on April 2, 2008; the fate of the remaining three hostages is unknown. No group claimed responsibility; however, sources attributed the attack to the Taliban.",0,1,0,6,Hostage Taking (Kidnapping),10,Journalists & Media,,,Unknown,Journalist: Jere Van Dyk,Taliban,0,,,13,Unknown,,,,0.0,0.0,,0.0,0.0,0,,,,,1,4.0,1.0,,-99.0,,,1.0,1500000.0,1500000.0,,,The assailants initially demanded the release of three prisoners from Guantanamo Bay before requesting the $1.5 million ransom.,6.0,Combination,1.0,,UMD Miscellaneous,1,1,1,1,2008-02-16,Feb,0.0,Saturday
200802210002,2008,2,21,Balochistan,Quetta,30.200819,66.994354,,"02/21/2008:  In Quetta, Pakistan, unidentified gunmen on a motorcycle fatally shot three traffic police officers.  The victims were Sub-Inspector Abdul Latif, who died instantly, and Constables Bashir and Muhammad Ayub, who died while en route to the hospital.  Baluchistan Liberation Army claimed responsibility for the incident.",0,1,0,2,Armed Assault,3,Police,25.0,Police Security Forces/Officers,Police,3 Pakistani traffic officers,Baloch Liberation Army (BLA),1,10.0,Unknown,5,Firearms,3.0,Handgun,3.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,This unprovoked attack occurred in broad daylight as the three victims were having a conversation in the street.,CETIS,0,0,0,0,2008-02-21,Feb,0.0,Thursday
200803010002,2008,3,1,Federally Administered Tribal Areas,Khar,34.733517,71.519661,Approximately 9 km from Khar,"03/01/2008:  A suicide bomber rammed his explosive-laden car into a van of Bajaur Levies while on patrol on Khar-Toorghundi road when it reached Jaar, killing two persons, including a bomber and a civilian, and injuring 21 others at Khar, Headquarters of Bajaur Agency.",0,1,1,3,Bombing/Explosion,4,Military,29.0,Military Unit/Patrol/Convoy,Military of Pakistan,Van of Bajaur Levies Forces on patrol on Khar-Toorghundi road,Tehrik-i-Taliban Pakistan (TTP),0,,,6,Explosives,15.0,Vehicle,2.0,0.0,1.0,21.0,0.0,0.0,1,4.0,Unknown,,,0,,,,,,,,,,,,,,,,"The condition of two injured security personnel was stated to be critical and he was shifted to Peshawar for medical treatment. --The injured included Sobedar Ismael, Naib Sobedar Yar Khan, Akhtar Khan, Muneer Khan, Jawad, Roohullah, Gul Dad, Mukhtiar, Nazim Khan and Sobedar Shah Jee of the Levies Forces. The civilians, injured in the blast have been identified as Shahab Ud Din, Rizwan, Amir Zada, Said Omar, Imran, Amanullah, Fawadullah, Hidayatullah, Qudrat Khan, Mujeebullah and Wali Khan. --The officials informed that different parts of the burned body of the bomber had been taken into custody along with the car. local officials believe it was carried out by the followers of pro-Taliban cleric, Maulana Fazlullah, who is thought to be behind dozens of suicide bombings in the scenic valley since October 2007",CETIS,0,0,0,0,2008-03-01,Mar,1.0,Saturday
200803080007,2008,3,8,Balochistan,Naushki District,29.538814,65.988586,,"03/08/2008:  Four main gas supply pipelines were blown up in Kalat, Quetta, and Dera Bugti, in Pakistan.  The Baloch Republican Army claimed responsibility for the attack also saying they killed two soldiers and injured many others.  According to reports, the local tribesmen exploded an 18-inch diameter gas pipeline in Aktharabad, an eight inch diameter gas supply line near Mungochar and two gas lines of 18"""" inch each diameter in Pir Koh gas field that caused suspension of gas supply to purification plant. The explosions also caused suspension of gas supply to some parts of Quetta, Kalat, Mastung and Pishin and Ziarat towns.",0,1,0,3,Bombing/Explosion,21,Utilities,106.0,Gas,Pipelines,Gas Pipelines,Baloch Republican Army (BRA),1,10.0,Unknown,6,Explosives,16.0,Unknown Explosive Type,1.0,0.0,0.0,0.0,0.0,0.0,-9,,,,,0,,,,,,,,,,,,,,,,,CETIS,0,0,0,0,2008-03-08,Mar,0.0,Saturday
200803110011,2008,3,11,Punjab,Lahore,31.50547,74.34288,,"03/11/2008:  At least 24 people were killed and 200 were injured as two suicide bombs exploded at an office of the federal police in Islamabad, Pakistan.  The larger of the two attacks occurred at the headquarters of the Federal Investigations Agency (FIA) as employees were arriving for work.  At least 21 people, including 16 police officers and a three-year-old girl were killed.  The blast destroyed the front of the building and rocked across a wide radius.  A smaller blast happened at the offices of an advertising agency in a residential area when a pair of suicide bombers rammed their way through the front gate.  A gardener was seriously injured and two of is children were killed.    Al-Qaida is suspected to be behind the attack.",0,1,1,3,Bombing/Explosion,3,Police,22.0,"Police Building (headquarters, station, school)",Police,Federal Investigation Agency.,Al-Qaida,-9,,,6,Explosives,13.0,Suicide (carried bodily by human being),27.0,0.0,2.0,200.0,0.0,0.0,1,2.0,Major (likely >= $1 million but < $1 billion),,,0,,,,,,,,,,,,,,,,,CETIS,0,1,0,1,2008-03-11,Mar,0.0,Tuesday
200803150001,2008,3,15,Islamabad Capital Territory,Islamabad,33.671638,73.056068,,"03/15/2008:  A powerful bomb blast tore through an Italian restaurant in the Pakistani capital of Islamabad.  The blast killed two Turkish woman and wounded 10 other foreigners, including four Americans.  The explosion occurred in the back garden of the popular Luna Caprese restaurant.  Taliban or Al-Qaida militants are suspected.",0,1,0,3,Bombing/Explosion,18,Tourists,97.0,Tourist,Tourists,Foreign nationals.,Al-Qaida,-9,,,6,Explosives,17.0,Other Explosive Type,1.0,0.0,0.0,10.0,4.0,0.0,1,3.0,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,,CETIS,0,1,1,1,2008-03-15,Mar,0.0,Saturday
200803160006,2008,3,16,Balochistan,Hub,25.044537,66.874672,,"03/16/2008:  Baluchistan Liberation Army members shot dead a coast guard and injured two others in a town called Hub in Baluchistan province, Pakistan. The assailants, who were uncaught, did not have a specific motive, however, the group's purpose is in their fight for more political rights and a greater share of profits of Baluchistan's natural resources.",0,1,0,2,Armed Assault,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Pakistani Coast Guard,Coast Guard Personnel,Baloch Liberation Army (BLA),1,10.0,Unknown,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,1.0,0.0,0.0,2.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,CETIS,0,0,0,0,2008-03-16,Mar,0.0,Sunday
200803200001,2008,3,20,Federally Administered Tribal Areas,Wana,32.306099,69.579956,,03/20/2008:  A suicide bomber loyal to a Pro-Taliban commander named Maulvi Nazir rammed his explosives-laden car into a military vehicle outside Wana army base in Pakistan killing five soldiers and wounding eleven.,0,1,1,3,Bombing/Explosion,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Pakistani Military,Wana Army Base,Tehrik-i-Taliban Pakistan (TTP),1,10.0,Unknown,6,Explosives,15.0,Vehicle,6.0,0.0,1.0,11.0,0.0,0.0,-9,,,,,0,,,,,,,,,,,,,,,,,CETIS,0,0,0,0,2008-03-20,Mar,1.0,Thursday
200803250002,2008,3,25,Federally Administered Tribal Areas,Miran Shah,33.006516,70.068253,,"03/25/2008:  Taliban militants shot dead an Afghan refugee, Abdullah Jan in a Pakistani tribal area, accusing him of spying for US forces.",0,1,0,2,Armed Assault,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Abdullah Jan,,Taliban,1,5.0,Note left at scene,5,Firearms,5.0,Unknown Gun Type,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,-9,,,,,,,,,,,,,,,,Witnesses claimed the victim had been kidnapped a week before,CETIS,1,0,1,1,2008-03-25,Mar,0.0,Tuesday
200803280012,2008,3,28,Federally Administered Tribal Areas,Unknown,32.667476,69.859741,,"3/28/2008: Sean Langan and his interpreter were kidnapped when attempting to interview a high-ranking Taliban member for a documentary along the Afghan-Pakistan border.  They were taken to a compound in Bajaur Agency, FATA, Pakistan.  They were then released in Islamabad, Pakistan, on June 21, 2008.  Sources speculate that the kidnappers were merely criminals; however, the Haqqani network is believed to be behind the attack.",0,1,0,6,Hostage Taking (Kidnapping),10,Journalists & Media,55.0,Television Journalist/Staff/Facility,Media,"Sean Langan, a documentary film-maker",Haqqani Network,0,,,13,Unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1,2.0,0.0,,-99.0,,,1.0,2435400.0,,2435400.0,,,2.0,Hostage(s) released by perpetrators,2.0,"Sean Langan, the documentarian, was released after his employer paid his ransom.  Doubt Terrorism Proper- one source said the terrorists were merely criminals.",UMD Miscellaneous,0,1,1,1,2008-03-28,Mar,0.0,Friday
200804010034,2008,4,1,Khyber Pakhtunkhwa,Mingora,34.774479,72.364052,,"04/01/2008: On Tuesday in Mingora, North West Frontier, Pakistan, Pakistani Taliban militants ambushed a van carrying pro-government tribal elders, killing two tribal leaders and wounding seven others. The militants were unhappy with the efforts of the tribal elders to recover stolen official vehicles through a jirga (council).",0,1,0,2,Armed Assault,14,Private Citizens & Property,73.0,Vehicles/Transportation,,A van carrying pro-government tribal elders,Tehrik-i-Taliban Pakistan (TTP),0,,,5,Firearms,5.0,Unknown Gun Type,2.0,0.0,0.0,7.0,0.0,0.0,-9,4.0,Unknown,,It Is unknown if the attack caused any property damage.,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-01,Apr,1.0,Tuesday
200804020005,2008,4,2,Balochistan,Quetta,30.200819,66.994354,"The Kalli Almo locality in Quetta, Balochistan, Pakistan.","4/2/2008: On Wednesday, armed men on motorcycles shot and killed two government security personnel in the Kalli Almo locality in Quetta, Baluchistan, Pakistan. The Baluchistan Liberation Army claimed responsibility for the attack.",0,1,0,2,Armed Assault,3,Police,25.0,Police Security Forces/Officers,Pakistani Government,Two government security personnel,Baloch Liberation Army (BLA),1,10.0,Unknown,5,Firearms,5.0,Unknown Gun Type,2.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-02,Apr,0.0,Wednesday
200804230012,2008,4,23,Balochistan,Quetta,30.200819,66.994354,Near Baluchistan University campus,"4/23/2008: On Wednesday, a university professor, Safdar Kiyani, was gunned down as he returned to campus from his evening walk in Quetta, Baluchistan, Pakistan.  The Baluchistan Liberation Army claimed responsibility for the attack.",0,1,0,2,Armed Assault,8,Educational Institution,48.0,Teacher/Professor/Instructor,Balochistan University,"Safdar Kiyani, a university professor,",Baloch Liberation Army (BLA),1,2.0,Call (post-incident),5,Firearms,5.0,Unknown Gun Type,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-23,Apr,0.0,Wednesday
200804230014,2008,4,23,Federally Administered Tribal Areas,North Waziristan district,32.974638,70.14558,Outside Naurak village,"4/23/2008: On Wednesday, Mujahedeen-e-Islam militants kidnapped and killed Feroze Khan, a soldier, for allegedly spying for US forces across the border in Afghanistan. Khan's body was found outside Naurak village in North Waziristan, Federally Administered Tribal Areas, Pakistan. A note found near the body said the man was a """"US spy"""" and had been punished because he was spying on """"mujahedin"""" activities in the area.",0,1,0,6,Hostage Taking (Kidnapping),4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",,"Feroze Khan, a soldier,",Tehrik-i-Taliban Pakistan (TTP),1,5.0,Note left at scene,5,Firearms,5.0,Unknown Gun Type,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1,1.0,0.0,,-99.0,,,0.0,,,,,,4.0,Hostage(s) killed (not during rescue attempt),0.0,,ISVG,0,0,0,0,2008-04-23,Apr,1.0,Wednesday
200804250024,2008,4,25,Balochistan,Rojhan,28.342315,64.478134,,"04/25/2008: On Friday, in Shahwali, near Rojhan, Balochistan, Pakistan, assailants assaulted a group of civilians and set fire to shops, injuring three civilians and damaging three shops. The Taliban claimed responsibility and stated they will conitue to kill people if they continued the 'anti-Shariah business'.",0,1,0,2,Armed Assault,1,Business,,,,Civilians,Tehrik-i-Taliban Pakistan (TTP),1,10.0,Unknown,13,Unknown,,,0.0,0.0,0.0,3.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage.,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-25,Apr,1.0,Friday
200804260014,2008,4,26,Balochistan,Sui,28.633307,69.190369,,"04/26/2008: On Saturday night, in Sui, Balochistan, Pakistan, assailants detonated an improvised explosive device, damaging a seven foot portion of the gas pipeline. No casualties or motive were reported. The Balochistan Republican Army (BRA) claimed responsibility.",0,1,0,3,Bombing/Explosion,21,Utilities,106.0,Gas,,A gas pipeline was targeted in the attack.,Baloch Republican Army (BRA),1,10.0,Unknown,6,Explosives,17.0,Other Explosive Type,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage.,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-26,Apr,0.0,Saturday
200804270009,2008,4,27,Balochistan,Dera Bugti,29.034412,69.158661,A main gas pipeline transporting natural gas from the Sui plant in Dera Bugti district,"4/27/2008: On Sunday, a gas pipeline was blown up in Dera Bugti, Baluchistan, Pakistan. The Baloch Republican Army claimed responsibility for the bombing. No casualties were reported.",0,1,0,3,Bombing/Explosion,21,Utilities,106.0,Gas,,A main gas pipeline transporting natural gas from the Sui plant in Dera Bugti.,Baloch Republican Army (BRA),1,10.0,Unknown,6,Explosives,16.0,Unknown Explosive Type,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,An uncertain amount of damage was done to the gas pipeline.,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-27,Apr,0.0,Sunday
200804270017,2008,4,27,Federally Administered Tribal Areas,Mohmand district,34.565494,71.477429,,"4/27/2008: On Sunday, Taliban militants publicly executed an alleged criminal involved in kidnappings for ransom, identified as Noor Hashim, in Mohmand, FATA, Pakistan. A masked man blindfolded and tied his hands behind his back before shooting him in the head with a Kalashnikov rifle.",0,1,0,2,Armed Assault,17,Terrorists/Non-State Militia,,,,"An alleged criminal involved in kidnappings for ransom, identified as Noor Hashim,",Tehrik-i-Taliban Pakistan (TTP),0,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-27,Apr,1.0,Sunday
200804290001,2008,4,29,Balochistan,Kalat,29.047852,66.593323,Mangochar area,"4/29/2008: On Tuesday, suspected militants killed a police constable, Mubarak Khan, at a check post in the Mangochar area of Kalat, Baluchistan, Pakistan. The Baloch Liberation Army's spokesman Beebargh Baloch claimed responsibility for the assassination.",0,1,0,1,Assassination,3,Police,25.0,Police Security Forces/Officers,Kalat Police,"Police constable, Mubarak Khan,",Baloch Liberation Army (BLA),1,8.0,Personal claim,13,Unknown,,,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-29,Apr,0.0,Tuesday
200804290011,2008,4,29,Balochistan,Khuzdar,27.809921,66.620956,,"4/29/2008: On Tuesday, gunmen on a motorcycle killed two Pakistani Military Intelligence officers in a drive by shooting in a bazaar in Khuzdar, Baluchistan, Pakistan. The Baloch Liberation Army's spokesman Beebargh Baloch claimed responsibility for the assassination.",0,1,0,2,Armed Assault,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",,Two Pakistani Military Intelligence officers,Baloch Liberation Army (BLA),1,8.0,Personal claim,5,Firearms,5.0,Unknown Gun Type,2.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,ISVG,0,0,0,0,2008-04-29,Apr,0.0,Tuesday
200805120024,2008,5,12,Federally Administered Tribal Areas,Mohmand district,34.565494,71.477429,In Baizai tehsil in Mohmand.,"05/12/2008: On Monday, in Baizai tehsil, Mohmand Agency, Federally Administered Tribal Areas, Pakistan, Tehrik-i-Taliban Pakistan (TTP) kidnapped four people, including Malik Andaz and his nephew Tahir Khan. Those who were kidnapped are awaiting their charges against them, two of which were involved in a kidnapping for ransom. No casualties or damage were reported. TTP claimed responsibility.",0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,,Civilians,Tehrik-i-Taliban Pakistan (TTP),1,10.0,Unknown,13,Unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1,4.0,0.0,,-99.0,,,0.0,,,,,,7.0,Unknown,-99.0,,ISVG,0,0,0,0,2008-05-12,May,1.0,Monday
